?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0021040>	"NCIT:C3305"
<http://purl.obolibrary.org/obo/MONDO_0021040>	"EFO:0003860"
<http://purl.obolibrary.org/obo/MONDO_0021040>	"SCTID:126859007"
<http://purl.obolibrary.org/obo/MONDO_0021040>	"ONCOTREE:PANCREAS"
<http://purl.obolibrary.org/obo/MONDO_0021040>	"MESH:D010190"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"NCIT:C4032"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"EFO:1000125"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"UMLS:C0279682"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"DOID:3711"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"SCTID:255110003"
<http://purl.obolibrary.org/obo/MONDO_0002751>	"ONCOTREE:BLAD"
<http://purl.obolibrary.org/obo/MONDO_0003454>	"DOID:5467"
<http://purl.obolibrary.org/obo/MONDO_0003454>	"ICD9:190.3"
<http://purl.obolibrary.org/obo/MONDO_0003454>	"SCTID:363463000"
<http://purl.obolibrary.org/obo/MONDO_0003454>	"NCIT:C3564"
